has_verb,has_budget,has_attribute,has_quantifier,has_player_role,dialogue
1,1,1,1,1,Are you looking to buy or rent a player?
1,1,1,1,1,Do you want to purchase or rent the player?
1,1,1,1,1,Are you looking to buy a player?
1,1,1,1,1,Do you have a budget in mind?
1,1,1,1,1,"How much money do you have richie, rich?"
1,1,1,1,1,How much are you willing to spend?
1,1,1,1,1,"Do you want your player to be strong ,fast. You have to tell me else I will give you a weak slow costly player."
1,1,1,1,1,Do you have any specific attribute in mind?
1,1,1,1,1,Do you want a fast or a strong player?
1,1,1,1,1,Should I look for best or average players will do as well?
1,1,1,1,1,Should I look for a good player or are you trying to be at the bottom of the table?
1,1,1,1,1,Do you want the best in the business or are you poor?
1,1,1,1,1,What position are you looking for?
1,1,1,1,1,Are you looking for a specific position?
1,1,1,1,1,"Are you looking for a defender,midfielder or a Striker?"
